id,city_id,name,marker,coordinates,cable_id
cherating-malaysia,6011,"Cherating, Malaysia",measle_white,"<Point><coordinates>103.393683,4.130183</coordinates></Point>",1828
cherating-malaysia,6011,"Cherating, Malaysia",measle_white,"<Point><coordinates>103.393683,4.130183</coordinates></Point>",1776
manado-indonesia,15115,"Manado, Indonesia",measle_white,"<Point><coordinates>124.839669,1.490732</coordinates></Point>",1851
davao-philippines,3902,"Davao, Philippines",measle_white,"<Point><coordinates>125.612813,7.079987</coordinates></Point>",1823
ilyich-russia,15111,"Ilyich, Russia",measle_white,"<Point><coordinates>36.770863,45.423621</coordinates></Point>",1822
kerch-ukraine,15112,"Kerch, Ukraine",measle_white,"<Point><coordinates>36.477406,45.357019</coordinates></Point>",1822
domburg-netherlands,3144,"Domburg, Netherlands",measle_white,"<Point><coordinates>3.496172,51.563950,0</coordinates></Point>",1819
aldeburgh-united-kingdom,3225,"Aldeburgh, United Kingdom",measle_white,"<Point><coordinates>1.590606,52.157895</coordinates></Point>",1819
port-hedland-australia,5777,"Port Hedland, Australia",measle_white,"<Point><coordinates>118.577269,-20.313457</coordinates></Point>",1817
darwin-australia,7685,"Darwin, Australia",measle_white,"<Point><coordinates>130.843181,-12.467465</coordinates></Point>",1817
walvis-bay-namibia,5912,"Walvis Bay, Namibia",measle_white,"<Point><coordinates>14.522338,-22.957304</coordinates></Point>",1669
jamestown-saint-helena-ascension-and-tristan-da-cunha,10722,"Jamestown, Saint Helena, Ascension and Tristan da Cunha",measle_white,"<Point><coordinates>-5.704703,-15.922151</coordinates></Point>",1669
igiugig-alaska-united-states,15033,"Igiugig, Alaska, United States",measle_white,"<Point><coordinates>-155.894719,59.327813</coordinates></Point>",1693
port-alwsorth-alaska-united-states,15032,"Port Alwsorth, Alaska, United States",measle_white,"<Point><coordinates>-154.336907,60.200372</coordinates></Point>",1693
fish-camp-alaska-united-states,15031,"Fish Camp, Alaska, United States",measle_white,"<Point><coordinates>-154.858831,59.949200,0</coordinates></Point>",1693
nondalton-alaska-united-states,15030,"Nondalton, Alaska, United States",measle_white,"<Point><coordinates>-154.847698,59.972637</coordinates></Point>",1693
newhalem-alaska-united-states,15029,"Newhalem, Alaska, United States",measle_white,"<Point><coordinates>-154.899749,59.718145</coordinates></Point>",1693
kokhanok-alaska-united-states,15028,"Kokhanok, Alaska, United States",measle_white,"<Point><coordinates>-154.752727,59.442169</coordinates></Point>",1693
pile-bay-alaska-united-states,15026,"Pile Bay, Alaska, United States",measle_white,"<Point><coordinates>-153.880462,59.776055</coordinates></Point>",1693
illiamna-alaska-united-states,15027,"Illiamna, Alaska, United States",measle_white,"<Point><coordinates>-154.906096,59.754766</coordinates></Point>",1693
pedro-bay-alaska-united-states,15025,"Pedro Bay, Alaska, United States",measle_white,"<Point><coordinates>-154.106097,59.787188</coordinates></Point>",1693
williamsport-alaska-united-states,15024,"Williamsport, Alaska, United States",measle_white,"<Point><coordinates>-153.632122,59.682403</coordinates></Point>",1693
mchugh-point-alaska-united-states,15023,"McHugh Point, Alaska, United States",measle_white,"<Point><coordinates>-149.732173,61.015703</coordinates></Point>",1813
portage-alaska-united-states,15022,"Portage, Alaska, United States",measle_white,"<Point><coordinates>-148.989791,60.828301</coordinates></Point>",1813
matara-sri-lanka,15021,"Matara, Sri Lanka",measle_white,"<Point><coordinates>80.539885,5.940827</coordinates></Point>",1559
kuakata-bangladesh,15020,"Kuakata, Bangladesh",measle_white,"<Point><coordinates>90.116638,21.816698</coordinates></Point>",1559
ngwe-saung-myanmar,14639,"Ngwe Saung, Myanmar",measle_white,"<Point><coordinates>94.391246,16.858009</coordinates></Point>",1739
ngwe-saung-myanmar,14639,"Ngwe Saung, Myanmar",measle_white,"<Point><coordinates>94.391246,16.858009</coordinates></Point>",1559
yanbu-saudi-arabia,9269,"Yanbu, Saudi Arabia",measle_white,"<Point><coordinates>38.106995,24.070604</coordinates></Point>",1559
toulon-france,5346,"Toulon, France",measle_white,"<Point><coordinates>5.930350,43.125282,0</coordinates></Point>",1559
al-bustan-oman,15019,"Al Bustan, Oman",measle_white,"<Point><coordinates>58.606106,23.576073</coordinates></Point>",1739
kuala-kurau-malaysia,15018,"Kuala Kurau, Malaysia",measle_white,"<Point><coordinates>100.397102,5.019441</coordinates></Point>",1739
buenaventura-colombia,5806,"Buenaventura, Colombia",measle_white,"<Point><coordinates>-77.040313,3.883699</coordinates></Point>",1084
puerto-chacabuco-chile,14844,"Puerto Chacabuco, Chile",measle_white,"<Point><coordinates>-72.805110,-45.458269,0</coordinates></Point>",1805
quellon-chile,14843,"Quellon, Chile",measle_white,"<Point><coordinates>-73.479475,-43.117450,0</coordinates></Point>",1805
gav-spain,7762,"Gavá, Spain",measle_white,"<Point><coordinates>2.001348,41.303994</coordinates></Point>",1187
fomboni-moheli-comoros,14842,"Fomboni Moheli, Comoros",measle_white,"<Point><coordinates>43.739610,-12.288266,0</coordinates></Point>",1803
mutsamudu-comoros,14841,"Mutsamudu, Comoros",measle_white,"<Point><coordinates>44.400058,-12.166684</coordinates></Point>",1803
chindini-comoros,14840,"Chindini, Comoros",measle_white,"<Point><coordinates>43.489121,-11.923520,0</coordinates></Point>",1803
mouly-new-caledonia,14839,"Mouly, New Caledonia",measle_white,"<Point><coordinates>166.488965,-20.705938</coordinates></Point>",1802
xepenehe-new-caledonia,14838,"Xepenehe, New Caledonia",measle_white,"<Point><coordinates>167.151269,-20.780938</coordinates></Point>",1802
poindimie-new-caledonia,14837,"Poindimie, New Caledonia",measle_white,"<Point><coordinates>165.341505,-20.945879</coordinates></Point>",1802
angra-do-heroismo-portugal,14836,"Angra do Heroismo, Portugal",measle_white,"<Point><coordinates>-27.215825,38.658487</coordinates></Point>",1801
vila-do-porto-portugal,14835,"Vila do Porto, Portugal",measle_white,"<Point><coordinates>-25.141266,36.956730,0</coordinates></Point>",1801
sao-mateus-portugal,14834,"Sao Mateus, Portugal",measle_white,"<Point><coordinates>-28.461235,38.432316</coordinates></Point>",1801
velas-portugal,14833,"Velas, Portugal",measle_white,"<Point><coordinates>-28.213188,38.683878</coordinates></Point>",1801
porto-santo-madeira-portugal,7784,"Porto Santo, Madeira, Portugal",measle_white,"<Point><coordinates>-16.347666,33.047357</coordinates></Point>",1800
funchal-portugal,5935,"Funchal, Portugal",measle_white,"<Point><coordinates>-16.908945,32.646869</coordinates></Point>",1800
toco-trinidad-and-tobago,14806,"Toco, Trinidad and Tobago",measle_white,"<Point><coordinates>-60.949696,10.831157</coordinates></Point>",1799
pigeon-point-trinidad-and-tobago,14807,"Pigeon Point, Trinidad and Tobago",measle_white,"<Point><coordinates>-60.840321,11.165434</coordinates></Point>",1799
kaliko-haiti,14805,"Kaliko, Haiti",measle_white,"<Point><coordinates>-72.608724,18.864551</coordinates></Point>",1361
huahine-french-polynesia,14804,"Huahine, French Polynesia",measle_white,"<Point><coordinates>-151.000044,-16.730061</coordinates></Point>",1556
moorea-french-polynesia,14798,"Moorea, French Polynesia",measle_white,"<Point><coordinates>-149.829536,-17.538752</coordinates></Point>",1556
uturoa-french-polynesia,14799,"Uturoa, French Polynesia",measle_white,"<Point><coordinates>-151.443012,-16.730939</coordinates></Point>",1556
vaitape-french-polynesia,14800,"Vaitape, French Polynesia",measle_white,"<Point><coordinates>-151.749506,-16.506330,0</coordinates></Point>",1556
nasugbu-philippines,9603,"Nasugbu, Philippines",measle_white,"<Point><coordinates>120.695823,14.317581</coordinates></Point>",1839
pinamalayan-philippines,16046,"Pinamalayan, Philippines",measle_white,"<Point><coordinates>121.464573,13.045804</coordinates></Point>",1839
roxas-philippines,7840,"Roxas, Philippines",measle_white,"<Point><coordinates>122.750021,11.583305</coordinates></Point>",1839
masbate-city-philippines,16047,"Masbate City, Philippines",measle_white,"<Point><coordinates>123.616720,12.366703,0</coordinates></Point>",1839
